# Constructed from biom file
#OTU ID	ERR4264700	ERR4264711	ERR4264748	ERR4264769	ERR4264780	ERR4264831
0ae1308cf1201de65c4edfcd616e89b2	97.0	116.0	99.0	34.0	155.0	949.0
9ce3287123f45e9f274c75b6cd91edcc	360.0	264.0	235.0	30.0	248.0	287.0
4db74cba8013bda3085cf77d8d220855	204.0	149.0	156.0	6.0	293.0	479.0
21a518d3c972423e3bd492d98368639b	704.0	0.0	0.0	15.0	12.0	553.0
13fe7d23910d77b4c262f64e95a8be41	143.0	163.0	117.0	707.0	9.0	105.0
36b5c4070800c9a44e49f25b5be1644c	209.0	73.0	402.0	230.0	59.0	220.0
2f2c9700b1ffe7753da3300a1bced87c	173.0	122.0	137.0	0.0	447.0	293.0
eb5d57a0e0ea597bc5d0564edf8cdc0e	34.0	201.0	281.0	288.0	20.0	346.0
2e9f1c3013022ced2c0c9567d59fc064	521.0	75.0	171.0	0.0	0.0	399.0
8a9953246825b0e065effec087dc5a19	238.0	804.0	24.0	25.0	22.0	37.0
07b43e38269daa867bfc6401b0cc402a	0.0	0.0	11.0	1136.0	0.0	0.0
95a24acd3a39ba4bf9af0ba0caeeebf0	431.0	605.0	0.0	26.0	0.0	62.0
ec39293a8db6cdfc99fecc1decfa59d7	167.0	238.0	117.0	0.0	288.0	264.0
eeba9006fd7bcd334bd92d010c65b097	9.0	1015.0	0.0	19.0	5.0	5.0
c26d08b47415c115823616a6fabad348	201.0	132.0	399.0	12.0	0.0	279.0
5c7aeeb25c701c3870808ac14e027fe4	106.0	166.0	204.0	66.0	290.0	124.0
5726c13c2deb29736de5cc85f62209a5	449.0	346.0	80.0	14.0	0.0	18.0
04b8458f4bfd4c1c9749a946c7f148ce	414.0	352.0	71.0	0.0	11.0	51.0
65441fb81e28eb930674f3d7d4281eb1	0.0	0.0	0.0	0.0	0.0	863.0
a448970de11b09c53971e6ae439c3e85	6.0	749.0	11.0	20.0	9.0	58.0
50d6049a2b89b495b2b59d1041584998	51.0	0.0	0.0	27.0	733.0	0.0
73207d52d283e98167d95daae50ae04d	585.0	55.0	0.0	0.0	6.0	155.0
4e40ee32e4cdf466e4d3b681d90f6199	156.0	59.0	80.0	293.0	0.0	186.0
f7a1c2a7dc74eb24446faaa79f519ee6	126.0	66.0	276.0	132.0	30.0	132.0
031b5d407f4465bdb5bc249c633d2183	68.0	57.0	131.0	324.0	122.0	47.0
2c635ae7059c359d68928b4696d6c84d	17.0	0.0	0.0	0.0	45.0	658.0
acf5bcc1f55e7657a7420c79d46e4b1f	0.0	0.0	0.0	4.0	716.0	0.0
8a66e4725750e40bd19b1770b6b845de	0.0	0.0	7.0	706.0	0.0	0.0
ae99ccfe51f11b022e7a0c931c83ad19	46.0	48.0	255.0	198.0	98.0	62.0
43ba54dc1879c65591a48e47de918e48	536.0	125.0	0.0	0.0	0.0	0.0
1cf9522d20d84d59157edc3cf5612329	147.0	409.0	0.0	9.0	0.0	81.0
01540e7a251110f78082da5cf3128c2f	36.0	0.0	66.0	52.0	362.0	113.0
b675d67b2060095344c60d2671706b22	412.0	0.0	161.0	49.0	6.0	0.0
367da03193554afa419233cf58aa75c7	107.0	72.0	84.0	0.0	222.0	142.0
196ac46a76bf92cca2d9bf95c57ec3f3	6.0	0.0	65.0	0.0	337.0	209.0
b3a5cff8cd5d575be019b4bf274f029c	131.0	166.0	96.0	0.0	0.0	223.0
cb39f94b4a5170e46d71f64675509f93	35.0	82.0	75.0	68.0	229.0	113.0
0eba1bdb4af67821ecc16b6e316fc41a	376.0	85.0	84.0	11.0	0.0	44.0
20ad637341314dd2eeaa440007eb9b73	219.0	64.0	15.0	0.0	217.0	84.0
798a392a704b7399adf374711cc8de3d	351.0	0.0	0.0	0.0	0.0	232.0
ed9d42acd9696a5c85d2a7c2616945d3	0.0	0.0	0.0	0.0	581.0	0.0
8a2950244650b024368aa8174145ba33	71.0	93.0	50.0	323.0	0.0	35.0
5906b594f17570abe6a9b649e24cb428	126.0	0.0	0.0	345.0	0.0	96.0
a0a953c376994dfbc0a5cc4dce701d13	0.0	0.0	0.0	0.0	0.0	543.0
6500cc7ab5df9f6e4d6359a7f2b7e6e3	254.0	0.0	122.0	0.0	85.0	81.0
efd3c5f761c7227b2823922d5a86fc8b	28.0	67.0	0.0	57.0	299.0	89.0
7e3e371ef86710a1d15916b6ac9b8bab	45.0	102.0	48.0	41.0	198.0	105.0
